Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"SW1","SW_Push","SW_PUSH_6mm",87.925000,-75.304165,120.000000,bottom
"SW7","SW_SPDT","SW_Slide_SPDT_Angled_CK_OS102011MA1Q_Protruding",100.000000,-68.890000,0.000000,bottom
